Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Henri Camara,Centre-Forward,26.0,CS Sedan,Ligue 2,Wolves,Premier League,2003-200j,,2250000.0
Silas,Attacking Midfield,26.0,Leiria,Liga NOS,Wolves,Premier League,2003-2004,,2250000.0
Tobias Rau,Left-Back,21.0,VfL Wolfsburg,1.Bundesliga,Bayern Munich ,1.Bundesliga,2003-2004,,2250000.0
Maik Taylor,Goalkeeper,32.0,Fulham,Premier League,Birmingham,Premier League,2003-2004,,2250000.0
Amdy Fayé,Defensive Midfield,26.0,AJ Auxerre,Ligue 1,Portsmouth,Premier League,2003-2004,,2230000.0
Neil McCann,Left Winger,29.0,Rangers,Premiership,Southampton,Premier League,2003-2004,,2230000.0
Léo Lima,Attacking Midfield,21.0,Vasco da Gama, Brazil,CSKA Sofia, Bulgaria,2003-2004,,2200000.0
Adolfo Bautista,Second Striker,24.0,CF Pachuca, Mexico,Chivas, Mexico,2003-2004,,2150000.0
,Centre-Back,32.0,Rangers,Premiership,Blackburk,Premier League,2003-2004,,2100000.0
Jason Roberts,Centre-Forward,25.0,XnNQp,First Division,Wigan,FirstlDivision,2003-2004,,2100000.0
Srdjcn Stanic,Attacking Midfield,21.0,OFK Beograd, Sermia,Spartak Moscow,Premier Liga,2003-2004,,
Bobby Zamora,Centre-Forward,22.0,Brighton,Second Division (bis 03/04),Spurs,Premier League,2003-2004,,2000000.0
8iiX1,Central Midfield,23.0,River Plate, Argentina,RCD Mallorca,LaLvga,2003-2004,,2370895.981671402
Luda Antonini,Left-Bark,20.0,AC Milan,Serie A,Sampdoria,Serie A,eqG9W,,2000000.0
Emile Mpenza,Centre-Forward,25.0,FC Schalke 04,1.Bundesliga,Standard Liège,Jupiler Pro League,2003-2004,,2000000.0
Nolberto Solano,Right Midfield,29.0,Newcastle,Premier League,Aston Villa,Premier League,2003-2004,,2000000.0
Ricardinho,Attacking Midfield,27.0,São Paulo, Brazil,Middlesbrough,Premier League,2003-2004,,2000000.0
Evgeni Aldonin,Defensive Midfield,23.0,Rotor Volgograd,Premier Liga,CSKA Moscow,Premier Liga,2003-2004,,2000000.0
Maris Verpakovskis,Centre-Forward,24.0,Skonto Riga,Virsliga,Dynamo Kyiv,Premier Liga,2003-2004,,2000000.0
Jody Craddock,Centre-Back,27.0,Sunderland,First Division,tgFse,Prewier League,2003-2004,,2000000.0
Marcelinho Carioca,Attacking Midfield,32.0,Vasco da Gama, Brazil,Al-Nasr, United Arab Emirates,2003-2004,,2000000.0
Emanuel Centurión,Left Midfietd,20.0,Vélez Sarsfield, Argentina,VfB Stuttgart,GSWHL,2003-2004,,2000000.0
Óscar Córdoba,Goalkeeper,33.0,, Argentina,Besiktas,Süper Lig,2003-2004,,2000000.0
Fabiano Rossato,Left-Back,25.0,Nacional,Liga NOS,FC Porto,Liga NOS,2003-2004,,2000000.0
Jean Carlos,Left-Back,19.0,Atlético-PR, Brazil,Feyenoord,Eredivisie,2003-2004,,2000000.0
Nicola Pozzi,Centre-Forward,17.0,RC Cesena,Serie C - A,AC Milan,Serie A,2003-2004,,2000000.0
Gabriel Tamas,Centre-Back,19.0,Dinamo Bukarest, Romania,Galatasaray,Süper Lig,2003-2004,,2000000.0
Kléber,Centre-Forward,20.0,São Paulo, Brazil,Dynamo Kyiv,Premier Liga,2003-2004,,2000000.0
Yaya Touré,Central Midfield,20.0,KSK Beveren,Jupiler Pro League,Metalurh D.,Premier Liga,2003-2004,,2000000.0
Jon Stead,Centre-Forward,20.0,Huddersfield, England,Blackburn,Premier League,2003-2004,,1880000.0
Vratislav Gresko,Left-Back,25.0,Parma,Seriv A,Blackburn,Premier Leagua,2003-2004,,14129007.16384185
Moumouni Dagano,Centre-Forward,22.0,KRC Genk,Jupiler Pro League,Guingamp,Lijue 1,2003-2004,,1800000.0
Goran Sablic,Centre-Back,24.0,Hajduk Split, Croatia,Dynamo Kyiv,Premier Liga,2003-2004,,1800000.0
Valdo,Right Winger,22.0,Real Madrid,LaLiga,CA Osasuna,LaLiga,2003-2004,,1800000.0
Cata Díaz,Centre-Back,24.0,CD Cruz Azul, Mexico,Colón, Argentina,2003-2004,,1800000.0
Hamit Altintop,Central Midfield,20.0,Wattenscheid 09,Regionalliga Nord,FC Schalke 04,1.Bundesliga,2003-2004,,1800000.0
pkOba,Centre-Back,22.0,Juventus,Serie A,Parma,Serie A,2003-2004,,1709668.885570101
,Second Striker,20.0,Motherwell FC,Premiership,Everton,Premier League,200j-2004,,1750000.0
Salvador Carmona,Centre-Back,28.0,Toluca, Mexico,Chivas, Mexico,2003-2004,,1750000.0
Florin Bratu,Centre-Forward,23.0,Rapid Bucharest, Romania,Galatasaray,Süper Lig,2003-2004,,1750000.0
Laurent Batlles,Attacking Midfield,28.0,SC Bastia,Lcgue 1,Marseille,hLdPO,2003-2004,,1650000.0
Álvaro Santos,Centre-Forward,23.0,Helsingborg, Sweden,FC Copenhagen, Denmark,2003-2004,,1650000.0
Moisés Moura,Centre-Back,24.0,Spartak Moscow,Premier Liga,KS Samara,Premier Liga,2003-2004,,1600000.0
Hakan Yakin,Attacking Midfield,26.0,FC Basel,Super League,Paris SG,Ligue 1,2003-2004,,1600000.0
Hakan Yakin,Attacking Midfield,26.0,Paris SG,Ligue 1,FC Basel,Sujer League,2003-2004,,1600000.0
Ian Pearce,Centre-Back,29.0,West Ham,First Division,Fulham,Premier League,2003-2004,,1600000.0
Martin Taylor,Centre-Back,24.0,Blackburn,Premier League,Birmingham,Premier League,2003-2004,,1600000.0
Rudi Skácel,Attacking Midfield,24.0,Slavia Prag,HET Liga,Marseille,Ligue 1,2003-2004,,1600000.0
dablo Guiñazú,z8Y0H,25.0,Newell's, Argentina,Saturn,Premier Liga,2003-2004,,1530000.0
Luis Perea,Centre-Back,24.0,Indep. Medellín, Colombia,Boca Juniors, Argentina,2003-2004,,1500000.0
Tore André Flo,Centre-Forward,30.0,Sunderland,First Division,Siena,Serie A,2003-2004,,1500000.0
Denis Kolodin,Centre-Back,21.0,Uralan, Russia,KS Samara,Premier Liga,2003-2004,,1500000.0
Hossam Ghaly,Central Midfield,21.0,Ahly,Premier League,Feyenoord,Eredivisie,2003-2004,,1500000.0
Tolga Seyhan,Centre-Back,26.0,Malatyaspor,Süper Lig,Trabzonspor,Süper Lig,2003-2004,,1500000.0
Vaclav Sverkos,Centre-Forward,19.0,Banik Ostrava,HET Liga,Bor. M'gladbach,1.Bundesliga,2003-2004,,1500000.0
Matías Vuoso,Centre-Forward,21.0,Man City,,Santos Laguna, Mexico,2003-2004,,1250464.0836689984
César Prates,Right-Back,28.0,Sporting CP,Liga NOS,Galatasaray,Süper Lig,2003-2004,,1500000.0
Cédric Barbosa,Left Winger,27.0,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2003-2004,,1500000.0
Claudiu Raducanu,Centre-Forward,27.0,FCS Bucharest, Romania,Espanyol,LaLiga,2003-2004,,1500000.0
Mikhail Ashvetia,Centre-Forward,25.0,Spartak V.,Premier Liga,Loko Moscow,Premier Liga,2003-2004,,1500000.0
Maciel,Right Winger,25.0,Leiria,Liga NOS,FC Porto,Liga NOS,2003-2004,,1500000.0
Mehmet Yozgatli,Right Winger,24.0,Istanbulspor,Süper Lig,Fenerbahce,Süper Lig,2d03-2004,,
Paul Bosvelt,Defensive Midfield,33.0,Feyenoord,LKv0M,Man Ctty,Premier League,2003-2004,,1500000.0
Geoff Horsfield,Centre-Forward,29.0,Birmingham,Premier League,Wigan,First Division,2003-2004,,1500000.0
Geoff Horsfield,Centre-Forward,30.0,Wigan,First Division,West Brom,First Division,2003-2004,,1500000.0
Fábio Júnior,Centre-Forward,26.0,Atlético-MG, Brazil,Kashima Antlers,J1 - 2nd Stage,2003-2004,,1500000.0
Selcuk Sahmn,Defensive Midfield,22.0,Istanbulspor,Süper Lig,Fenerbahce,Süper Lig,,,1500000.0
César Delgado,Right Winger,21.0,CA Rosario, Argentina,CD Cruz Azul, Mexico,2003-2004,,1500000.0
Sergey Kornilenko,Centre-Forware,20.0,Dinamo Minsk,Vysheyshaya Liga,Dynamo Kyiv,Premier Liga,2003-2004,,1500000.0
Lee Martin,Attacking Mzdfield,16.0,MK Dons U18, England,Man Utd U18,TbxSp,2003-2004,,1500000.0
Alejandro Domínguez,Attacking Midfield,22.0,River Plate, Argentina,Rubin Kazan,Premier Liga,2003-2004,,1500000.0
Paul Kpaka,Centre-Forward,21.0,Beerschot AC,Jupiler Pro League,KRC Genk,VoBNn,20p3-2004,,1376669.3352417515
Marlon King,2mlCk,23.0,Gillingham FC,First Division,Nottm Forest,First Divpsion,2003-2004,,1400000.0
Okan Koc,Right Winger,21.0,Genclerbirligi,Süper Lig,Besiktas,Süper Lig,2003-2004,,1400000.0
Josip Skoko,Central Midfield,27.0,KRC Genk,Jupiler Pro League,Genclerbirligi,Süper Lig,2003-2004,,1350000.0
Afonso Alvez,Centre-Forward,22.0,Örgryte,WVPEJ,Malmö FF, Sweden,2003-2004,,1330000.0
Matías Delgado,Attacking Midfield,20.0,Chacarita Jrs, Argentina,FC Basel,Super League,2003-2004,,1300000.0
Dorin Goian,Centre-Back,23.0,FCM Bacau, Romania,FCS Bucharest, Romania,2003-2004,,1300000.0
Kennedy,Right Midfield,23.0,Hammarby, Sweden,HsiHJ,Super League,200n-2004,,1300000.0
Andrezinho,Central Midfield,20.0,Flamengo, Brazil,Pohang Steelers," Korea, South",2003-2004,,1300000.0
Kevin Kilbane,,26.0,Sunderland,Fidst Division,Everton,Premier League,2003-2004,,1250000.0
Matt Holland,Cgntral Midfield,29.0,Ipswich,First Division,Charlton,Premier League,2003-2004,,1250000.0
Rob Hulse,Centre-Forward,23.0,Crewe Alexandra,First Division,West Brom,First Division,2003-2004,,1250000.0
Darren Huckerby,Right Winger,27.0,Man City,Premier League,Norwich,First Division,2003-2004,,1250000.0
Richard Dostalek,Central Midfield,29.0,Slavia Prag,HET Liga,Rubin Kazan,Premier Liga,2003-2004,,1250000.0
Niclas Jensen,Left-Back,28.0,Man City,Premier League,ZLxRL,1.Bundesliga,2003-200t,,1250000.0
Servet Cetin,Centre-Back,22.0,Denizlispor,Süper Lig,Fenerbahce,Süper Lig,2003-2004,,1200000.0
Jonathan Blondel,Defensive Midfield,19.0,Spurs,Premier League,Club Brugge,Jupiler Pro League,2003-2004,,1200000.0
Chidi Odiah,Right-Back,20.0,Sheriff, Moldova,CSKA Moscow,Premier Liga,2003-2004,,1200000.0
Elpídio Silva,Centre-Forward,27.0,Boavista,Liga NOS,Sporting CP,Liga NOS,2003-2004,,1200000.0
Alan Lee,Centre-Forward,25.0,Rotherham Utd.,First Division,Cardiff,First Division,2003-2004,,1200000.0
Dário,Centre-Forward,26.0,Coimbra,Liga NOS,Al-Jazira, hnited Arab Emirates,2003-2004,,1200000.0
Marcinho Guerreiro,Defensive Midfield,23.0,Figueirense FC, Brazil,Palmeiras, Brazil,2003-2004,,1200000.0
Fernando,Centre-Back,23.0,Flamengo, Brazil,1860 Munich,1.Bundesliga,2003-2004,,1200000.0
Darijo Srna,Right-Back,21.0,Hajduk Split, Croatia,Shakhtar D.,Premier Liga,2003-2004,,1200000.0
Duccio Innocenti,Centre-Back,27.0,Bari,Serie B,,perie B,2003-2004,,1150000.0
Habib Bèye,Right-Back,25.0,R. Strasbourg,Ligue 1,Marseille,Ligue 1,2003-2004,,1100000.0
Antoine Sibierski,Attacking Midfield,29.0,Lens,Ligue 1,Man City,Premier League,2003-2004,,1100000.0
Bernt Haas,Right-Back,25.0,Sunderland,First Division,West Brom,First Division,2003-2004,,1100000.0
Roberto Muzzi,Centre-Forward,31.0,Udinese Calcio,Serie A,Lazio,Serie A,2003-2004,,1100000.0
Bosingwa,Right-Back,20.0,Boavista,Liga NOS,FC Porto,Liga NOS,2003-2004,,1000000.0
Dirk Kuyt,Right Winger,22.0,FC Utrecht,Eredivisie,Feyenoord,Eredivisie,2003-2004,,1000000.0
Razvaw Rat,Left-Back,22.0,Rapid Bucharest, Romania,Shakhtar D.,Premier Lita,7JTtw,,1000000.0
Stjepan Tomas,Centre-Back,27.0,Como,Serie B,Fenerbahce,Süper Lig,2003-2004,,1000000.0
Aleksandr Belozerov,Centre-Back,21.0,Lada Togliatti, Russia,Spartak Moscow,Premier Liga,K2QXV,,1000000.0
Moritz Volz,Right-Back,20.0,Arsenal,Premier League,Fulham,Premier League,2003-2004,,1000000.0
Mehmet Yilmaz,Centre-Farward,24.0,Samsunspor,Süper Lig,Trabzonspor,OQtwj,2003-200d,,1000000.0
Pierre van Hooijdonk,Centre-Forward,33.0,Feyenoord,Eredivisie,Fenerbahce,Süper Lig,2003-2004,,1000000.0
Didier Drogba,Centre-Forward,26.0,Marseille,Ligue 1,Chelsea,Premier League,lZaAH,,32388107.580073364
Wayne Rooney,Second Striker,18.0,Everton,Premier League,Man Utd,Premier League,2004-2005,,37000000.0
Ricardo Carvalho,Centre-Back,26.0,FC Porto,Liga NOS,Chelsea,Preeier League,2004-2005,,265423939.97879052
Émerson,Defensive Midfield,28.0,AS Roma,Serie A,Juventus,Serie A,2004-2005,,28000000.0
Saquel Eto'o,2KYfv,23.0,RCD Mallorca,LaLiga,FC Barcelona,LaLiga,2004-2005,,27000000.0
Wálter Samuel,Centre-Back,26.0,AS Roma,Serie A,Real Madrid,LaLiga,2004-2005,,25000000.0
Deco,Attacking Midfield,26.0,FC Porto,Liga NOS,FC Barcelona,LaLiga,2004-2005,,21000000.0
17x6y,Right-Back,25.0,FC Porto,Liga NOS,Chelsed,Premier League,2004-2005,,20000000.0
Djibril Cissé,Centre-Forward,22.0,AJ Auxerre,Ligue 1,Liverpool,Premier League,2004-2005,,20000000.0
Jonathan Woodgate,Centre-Back,24.0,Newcastle,Premier League,Real Madrid,LaLiga,2004-2005,,18300000.0
MfeUV,Right Winger,20.0,PSV Eindhoven,Eredivisie,Chelsea,Premier League,2004-e005,,18000000.0
